y/y0.5,U/Uc_xh0,U/Uc_xh2,U/Uc_xh4,U/Uc_xh6,U/Uc_xh8,U/Uc_xh10
-0.655172,,0.905323,0.799596,0.7991,0.843918,0.889268
-0.62069,,0.928543,0.819569,0.81521,0.856671,0.899315
-0.586207,,0.946538,0.839644,0.830812,0.869394,0.908637
-0.551724,,0.964767,0.858046,0.846207,0.882159,0.917318
-0.517241,,0.972201,0.875535,0.861187,0.894532,0.925902
-0.482759,,0.983306,0.89225,0.875653,0.906205,0.934566
-0.448276,,0.986375,0.907782,0.8894,0.917355,0.942951
-0.413793,,0.990574,0.922186,0.902814,0.927975,0.950602
-0.37931,,0.994331,0.934711,0.915777,0.937865,0.957549
-0.344828,,0.992249,0.946832,0.928596,0.947068,0.963904
-0.310345,,0.998368,0.95686,0.940684,0.955819,0.969889
-0.275862,,0.994687,0.966184,0.952016,0.964351,0.975589
-0.241379,,0.999117,0.974039,0.962001,0.971966,0.98082
-0.206897,,0.996461,0.980916,0.970905,0.978639,0.985437
-0.172414,,0.999225,0.986571,0.978627,0.98471,0.989545
-0.137931,,0.998466,0.991053,0.9855,0.990053,0.992928
-0.103448,,0.997548,0.995012,0.990916,0.99411,0.995695
-0.0689655,,1.00036,0.997412,0.995133,0.997016,0.998057
-0.0344828,,0.997458,0.999516,0.998083,0.998942,0.999622
0,,1,1,1,1,1
0.0344828,,0.997539,1.00052,1.0002,0.999969,0.99976
0.0689655,,1.00051,0.99926,0.999157,0.999037,0.999155
0.103448,,0.99764,0.997854,0.996762,0.99745,0.998069
0.137931,,0.998696,0.995016,0.993116,0.995072,0.996561
0.172414,,0.999395,0.991647,0.988295,0.991585,0.994542
0.206897,,0.996547,0.986895,0.982946,0.987258,0.991939
0.241379,,0.999144,0.981233,0.976134,0.982057,0.988714
0.275862,,0.994834,0.974643,0.967587,0.976465,0.98499
0.310345,,0.998621,0.96635,0.957641,0.970556,0.980979
0.344828,,0.992658,0.957211,0.947107,0.963643,0.976633
0.37931,,0.994851,0.945924,0.935594,0.955725,0.971742
0.413793,,0.991014,0.934017,0.923762,0.947361,0.966312
0.448276,,0.98729,0.920182,0.911285,0.93871,0.960524
0.482759,,0.984595,0.905376,0.898114,0.929435,0.954218
0.517241,,0.974062,0.888864,0.884061,0.919385,0.947385
0.551724,,0.967453,0.871337,0.869896,0.908821,0.939909
0.586207,,0.950443,0.852783,0.855355,0.89742,0.931661
0.62069,,0.933726,0.832582,0.840149,0.885374,0.92293
0.655172,,0.911183,0.812496,0.824222,0.873197,0.914113
0.689655,,0.880747,0.790998,0.808323,0.860701,0.905101
0.724138,,0.849669,0.770296,0.792544,0.847752,0.895552
0.758621,,0.812952,0.748199,0.776055,0.834561,0.885505
0.793103,,0.771721,0.727321,0.759171,0.821338,0.875127
0.827586,,0.733969,0.705009,0.742603,0.807798,0.864436
0.862069,,0.687407,0.682785,0.72627,0.794121,0.853483
0.896552,,0.648566,0.660052,0.709758,0.78065,0.842508
0.931034,,0.604445,0.637839,0.69368,0.767146,0.831589
0.965517,,0.558934,0.615467,0.677383,0.753414,0.820739
1,,0.520602,0.592394,0.660903,0.739723,0.809657
1.03448,,0.476253,0.569962,0.644076,0.726081,0.797968
1.06897,,0.434541,0.54726,0.627304,0.7123,0.786056
1.10345,,0.400896,0.525619,0.610635,0.698512,0.774684
1.13793,,0.359512,0.503598,0.594383,0.684613,0.763489
1.17241,,0.323675,0.481977,0.578204,0.67028,0.751961
1.2069,,0.292179,0.460597,0.561776,0.656243,0.74042
1.24138,,0.25567,0.439851,0.545582,0.642546,0.729004
1.27586,,0.225766,0.42014,0.529835,0.628775,0.717061
1.31034,,0.198887,0.400455,0.514117,0.615177,0.704385
1.34483,,0.168983,0.381105,0.498072,0.601352,0.691565
1.37931,,0.144206,0.361909,0.481592,0.58722,0.678828
1.41379,,0.121354,0.343216,0.465102,0.573063,0.666017
1.44828,,0.0973212,0.324335,0.448826,0.559069,0.653262
1.48276,,0.0780288,0.305999,0.43269,0.545112,0.640474
1.51724,,0.0611728,0.288229,0.416568,0.531157,0.627742
1.55172,,0.0440245,0.270836,0.400576,0.517182,0.615231
1.58621,,0.0305403,0.253656,0.384957,0.503334,0.602549
1.62069,,0.0202725,0.236483,0.369654,0.489711,0.589976
1.65517,,0.0100484,0.219592,0.354643,0.47591,0.577504
1.68966,,0.00183095,0.203113,0.339799,0.462029,0.564795
1.72414,,-0.00320948,0.187254,0.325085,0.448452,0.551794
1.75862,,-0.00748391,0.171947,0.310649,0.435179,0.538952
1.7931,,-0.0112205,0.156872,0.296638,0.422243,0.526383
1.82759,,-0.0131079,0.142083,0.28306,0.40931,0.514109
1.86207,,-0.0141432,0.12755,0.269774,0.396393,0.502334
1.89655,,-0.0155365,0.113238,0.256778,0.38353,0.490876
