x/h=0.2,,,,x/h=1,,,,x/h=3,,,,x/h=10,,,,x/h=20,,,x/h=30,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
y/y0.5,U/Uc,,,y/y0.5,U/Uc,,,y/y0.5,U/Uc,,,y/y0.5,U/Uc,,,y/y0.5,U/Uc,,y/y0.5,U/Uc
,,,,,,,,,,,,,,,,,,,-1.77542,0.12105
,,,,,,,,,,,,,,,,,,,-1.80274,0.10932
,,,,,,,,,,,,,,,,,,,-1.83005,0.11018
,,,,,,,,,,,,,,,,,,,-1.85737,0.09248
,,,,,,,,,,,,,,,,,,,-1.88468,0.09601
,,,,,,,,,,,,,,,,,,,-1.91199,0.0901
,,,,,,,,,,,,,,,,,,,-1.93931,0.08499
,,,,,,,,,,,,,,,,,,,-1.96662,0.08881
,,,,,,,,,,,,,,,,,,,-1.99394,0.07593
,,,,,,,,,,,,,,,,,,,-2.02125,0.07981
,,,,,,,,,,,,,,,,,,,-2.04856,0.07564
,,,,,,,,,,,,,,,,,,,-2.07588,0.07845
,,,,,,,,,,,,,,,,,,,-2.10319,0.0737
,,,,,,,,,,,,,,,,,,,-2.13051,0.07031
,,,,,,,,,,,,,,,,,,,-2.15782,0.06513
,,,,,,,,,,,,,,,,,,,-2.18514,0.05599
